,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38
2024-03-12 14:15:00+01:00,3.9375143,14.750449,0.49318588,-21.698462,54.036514,96.44277,135.70456,175.09583,192.3183,202.0198,198.36557,158.63025,95.187096,87.16056,84.957565,77.1394,62.71709,67.95643,82.244,89.92533,108.62375,85.89848,72.17446,58.723263,37.380478
2024-03-12 14:30:00+01:00,3.9375143,14.750449,0.49318588,-21.917746,54.036514,96.44277,135.70456,175.09583,192.3183,202.0198,198.36557,158.63025,95.187096,87.16056,84.957565,77.1394,62.71709,67.66075,82.244,89.92533,108.62375,85.89848,73.6156,58.723263,37.380478
2024-03-12 14:45:00+01:00,3.9375143,14.750449,-2.2316024,-20.556942,54.036514,96.44277,135.70456,175.09583,192.3183,202.0198,198.36557,160.2143,95.187096,87.16056,84.957565,77.1394,62.71709,67.66075,82.44018,89.54261,108.62375,85.89848,73.6156,58.723263,37.380478
2024-03-12 15:00:00+01:00,28.243706,33.40148,6.242809,-0.15068093,52.20485,83.21662,136.42436,166.27959,189.42004,201.63663,197.03203,170.2491,104.58422,100.92127,81.569565,74.019424,59.11465,55.50555,61.2719,81.934235,109.34291,84.414764,73.71991,61.190853,38.830627
2024-03-12 15:15:00+01:00,28.105076,33.559223,8.8587265,-0.15068093,52.20485,87.55644,135.6697,166.27959,189.42004,201.63663,197.03203,170.2491,104.8485,95.90943,81.569565,77.621796,58.724957,55.50555,61.2719,81.94554,109.34291,82.79956,75.04916,61.390644,38.830627
2024-03-12 15:30:00+01:00,28.105076,33.559223,8.8587265,-0.21393433,52.235004,89.83551,135.6697,166.27959,186.67802,201.63663,197.03203,170.2491,107.563286,98.572296,81.569565,77.796936,58.724957,55.916843,60.909977,81.94554,109.34291,82.93138,74.78576,61.390644,38.159077
2024-03-12 15:45:00+01:00,26.728516,32.93497,12.471529,5.4991612,53.80561,89.83551,135.6697,166.27959,186.67802,201.3673,197.03203,169.87335,107.563286,98.572296,81.569565,77.796936,58.724957,55.916843,60.909977,81.084915,109.34291,82.93138,73.79499,61.390644,38.159077
2024-03-12 16:00:00+01:00,48.77536,51.304165,33.124695,1.9815437,48.714172,85.76497,136.30302,166.68256,188.13626,202.02647,194.58733,178.83577,122.61729,97.29622,80.30808,74.90077,58.231747,55.87116,53.421375,69.70447,97.89778,83.122185,74.64312,64.07209,48.24423
2024-03-12 16:15:00+01:00,48.77536,51.304165,33.124695,1.9815437,47.10304,89.669395,134.43016,166.27722,188.07735,202.02647,194.58733,176.5864,125.3158,97.29622,80.30808,73.339325,57.4725,56.839252,53.421375,69.21954,97.89778,83.122185,76.254425,62.367264,48.24423
2024-03-12 16:30:00+01:00,47.90956,51.304165,33.124695,1.9815437,47.10304,92.94695,134.43016,164.28009,188.07735,202.02647,194.58733,175.83961,125.3158,97.29622,80.30808,73.339325,57.4725,56.839252,52.23304,68.79991,97.89778,83.122185,76.254425,62.367264,49.21921
2024-03-12 16:45:00+01:00,47.90956,50.569157,35.217876,0.13187942,47.695404,94.03046,133.26247,166.27815,184.97433,201.50609,194.58733,175.83961,125.3158,97.29622,80.30808,72.82411,57.349087,55.71778,52.321014,68.49759,89.68618,83.122185,71.34417,60.642384,48.57829
2024-03-12 17:00:00+01:00,54.907898,57.02514,31.860893,10.917231,40.44633,84.42196,133.83427,166.81302,182.37532,201.2271,207.20502,184.97864,126.661575,91.97279,72.80406,69.445206,56.560024,49.90146,55.81676,61.12173,73.40406,73.18444,78.78386,79.77318,71.82784
2024-03-12 17:15:00+01:00,57.39817,57.159626,27.807993,10.917231,44.072666,84.8524,134.97801,166.81302,182.37532,195.24248,208.2533,184.1755,126.772095,91.97279,75.513626,69.445206,56.560024,48.160038,55.81676,60.88505,73.40406,73.50955,77.595085,79.77318,79.524
2024-03-12 17:30:00+01:00,56.14196,59.89476,29.31965,12.66227,44.8166,83.66424,135.57307,166.81952,181.37885,195.44737,207.40709,183.77606,126.772095,94.16144,74.21897,67.58348,56.683838,54.374874,55.81676,60.88505,73.40406,73.46383,77.595085,79.77318,79.524
2024-03-12 17:45:00+01:00,55.93228,59.83185,38.514156,22.931494,49.820835,81.893005,134.61922,166.81952,181.37885,194.76251,211.48299,187.17084,125.80793,92.802605,74.21897,67.58348,56.683838,55.178963,55.81676,58.71423,73.40406,73.58787,77.595085,79.77318,79.524
2024-03-12 18:00:00+01:00,65.96245,54.77541,21.11797,19.285322,50.798786,83.372246,131.93166,165.58122,182.64168,193.18005,211.48299,182.03702,115.4216,82.89403,66.25634,67.06207,56.35122,54.433075,49.606106,55.334274,75.00054,75.66106,90.89326,92.141174,91.53998
2024-03-12 18:15:00+01:00,65.96245,53.14811,22.835657,19.285322,50.181076,81.986595,132.08301,164.3818,184.42328,193.18005,211.48299,182.0645,115.95932,82.16827,66.25634,67.06207,55.077843,54.433075,46.522415,57.66832,75.00054,75.66106,92.624146,90.215996,91.53998
2024-03-12 18:30:00+01:00,65.96245,53.14811,23.096151,19.285322,54.095654,81.794205,134.76697,163.43713,184.42328,193.18005,211.48299,180.0949,113.09266,82.16827,65.26318,66.19122,50.56285,53.39843,46.522415,57.66832,74.165054,71.12428,92.624146,90.215996,91.53998
